"filename", "language", "C++", "Markdown", "HTML", "JSON with Comments", "JSON", "CMake", "Makefile", "CMake Cache", "TypeScript", "Log", "C", "comment", "blank", "total"
"c:\Projects\Appetito\Appetito.code-workspace", "JSON with Comments", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88
"c:\Projects\Appetito\Coding Standard.md", "Markdown", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 145
"c:\Projects\Appetito\Communication Standard.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Projects\Appetito\README.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 48
"c:\Projects\Appetito\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Projects\Appetito\build\.cmake\api\v1\reply\cache-v2-6783f911fc3fd75af8f4.json", "JSON", 0, 0, 0, 0, 1311, 0, 0, 0, 0, 0, 0, 0, 1, 1312
"c:\Projects\Appetito\build\.cmake\api\v1\reply\cmakeFiles-v1-25fb5c90fe982e9770fd.json", "JSON", 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 1, 161
"c:\Projects\Appetito\build\.cmake\api\v1\reply\codemodel-v2-4529c04b9d01023e23e1.json", "JSON", 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 1, 178
"c:\Projects\Appetito\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Projects\Appetito\build\.cmake\api\v1\reply\index-2022-12-31T08-35-55-0065.json", "JSON", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 1, 133
"c:\Projects\Appetito\build\.cmake\api\v1\reply\target-client_customer-Debug-9a46549092999db9826a.json", "JSON", 0, 0, 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 1, 347
"c:\Projects\Appetito\build\.cmake\api\v1\reply\target-client_lib-Debug-e49aedac75ccae28554a.json", "JSON", 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 1, 240
"c:\Projects\Appetito\build\.cmake\api\v1\reply\target-concli_lib-Debug-a354e8385232a140e9df.json", "JSON", 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 1, 240
"c:\Projects\Appetito\build\.cmake\api\v1\reply\target-console_menu_lib-Debug-e86ffdccf0188c06dc76.json", "JSON", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 1, 198
"c:\Projects\Appetito\build\.cmake\api\v1\reply\target-food_lib-Debug-18810d544b70c3f67ac4.json", "JSON", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 1, 198
"c:\Projects\Appetito\build\.cmake\api\v1\reply\target-kitchen_request_lib-Debug-7935a756f173d7dfa184.json", "JSON", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 1, 198
"c:\Projects\Appetito\build\.cmake\api\v1\reply\target-menu_lib-Debug-52a8a31c87123a33fd3f.json", "JSON", 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 1, 222
"c:\Projects\Appetito\build\.cmake\api\v1\reply\target-networkio_lib-Debug-5be1446a3adb93af5491.json", "JSON", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 1, 198
